IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
129.159.240.119,443,443,true,FRA,Europe,Frankfurt,309,7.21
141.148.240.68,443,443,true,FRA,Europe,Frankfurt,275,7.20
84.235.170.194,443,443,true,FRA,Europe,Frankfurt,410,7.20
143.47.231.15,443,443,true,FRA,Europe,Frankfurt,295,7.20
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,196,7.19
143.47.184.128,443,443,true,FRA,Europe,Frankfurt,316,7.18
143.47.228.223,443,443,true,FRA,Europe,Frankfurt,293,7.18
130.162.248.230,443,443,true,FRA,Europe,Frankfurt,264,7.18
141.147.23.139,443,443,true,FRA,Europe,Frankfurt,349,7.14
141.144.252.248,443,443,true,FRA,Europe,Frankfurt,327,7.11
140.238.126.27,443,443,true,FRA,Europe,Frankfurt,232,7.10
84.235.173.103,443,443,true,FRA,Europe,Frankfurt,287,7.08
158.178.150.213,443,443,true,FRA,Europe,Frankfurt,342,7.04
141.144.203.148,443,443,true,FRA,Europe,Frankfurt,171,7.03
141.147.115.241,443,443,true,FRA,Europe,Frankfurt,297,7.03
79.72.92.181,443,443,true,FRA,Europe,Frankfurt,265,7.03
158.101.223.153,443,443,true,FRA,Europe,Frankfurt,383,7.00
141.147.38.176,443,443,true,FRA,Europe,Frankfurt,382,6.98
158.180.20.16,443,443,true,FRA,Europe,Frankfurt,425,6.97
132.226.212.86,443,443,true,FRA,Europe,Frankfurt,338,6.95
141.147.96.61,443,443,true,FRA,Europe,Frankfurt,269,6.94
158.180.31.89,443,443,true,FRA,Europe,Frankfurt,413,6.93
164.152.26.70,2086,443,true,ORD,North America,Chicago,377,6.93
84.235.171.189,443,443,true,FRA,Europe,Frankfurt,257,6.93
130.162.185.166,443,443,true,FRA,Europe,Frankfurt,314,6.93
84.8.149.46,443,443,true,FRA,Europe,Frankfurt,281,6.89
144.21.54.80,443,443,true,FRA,Europe,Frankfurt,263,6.88
129.159.241.250,443,443,true,FRA,Europe,Frankfurt,280,6.87
141.147.119.215,443,443,true,FRA,Europe,Frankfurt,324,6.87
132.145.13.57,443,443,true,FRA,Europe,Frankfurt,313,6.84
152.70.49.163,443,443,true,FRA,Europe,Frankfurt,258,6.84
141.147.61.172,443,443,true,FRA,Europe,Frankfurt,411,6.83
158.178.148.121,443,443,true,FRA,Europe,Frankfurt,360,6.83
130.162.250.14,443,443,true,FRA,Europe,Frankfurt,321,6.82
89.168.115.169,443,443,true,FRA,Europe,Frankfurt,289,6.82
141.148.245.157,443,443,true,FRA,Europe,Frankfurt,245,6.82
84.8.157.1,443,443,true,FRA,Europe,Frankfurt,379,6.81
84.235.170.136,443,443,true,FRA,Europe,Frankfurt,448,6.80
141.147.55.141,443,443,true,FRA,Europe,Frankfurt,346,6.79
158.101.216.213,443,443,true,FRA,Europe,Frankfurt,389,6.77
158.178.159.218,443,443,true,FRA,Europe,Frankfurt,326,6.77
143.47.224.26,443,443,true,FRA,Europe,Frankfurt,316,6.73
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,285,6.73
89.168.85.172,2096,443,true,FRA,Europe,Frankfurt,272,6.72
141.147.69.188,443,443,true,FRA,Europe,Frankfurt,324,6.72
143.47.179.27,443,443,true,FRA,Europe,Frankfurt,268,6.72
84.8.151.205,443,443,true,FRA,Europe,Frankfurt,330,6.64
89.168.106.192,443,443,true,FRA,Europe,Frankfurt,246,6.59
79.72.71.24,443,443,true,FRA,Europe,Frankfurt,272,6.58
144.21.60.196,443,443,true,FRA,Europe,Frankfurt,279,6.56
150.230.122.242,443,443,true,FRA,Europe,Frankfurt,304,6.52
79.72.84.128,443,443,true,FRA,Europe,Frankfurt,273,6.51
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,281,6.49
130.162.254.19,443,443,true,FRA,Europe,Frankfurt,323,6.48
130.162.182.142,443,443,true,FRA,Europe,Frankfurt,348,6.47
143.47.190.69,443,443,true,FRA,Europe,Frankfurt,265,6.46
141.144.242.23,443,443,true,FRA,Europe,Frankfurt,395,6.45
144.21.60.27,443,443,true,FRA,Europe,Frankfurt,194,6.45
141.148.235.26,443,443,true,FRA,Europe,Frankfurt,297,6.41
79.72.69.242,443,443,true,FRA,Europe,Frankfurt,167,6.41
141.147.102.165,443,443,true,FRA,Europe,Frankfurt,364,6.38
129.159.200.193,443,443,true,FRA,Europe,Frankfurt,300,6.38
141.147.98.146,443,443,true,FRA,Europe,Frankfurt,304,6.36
141.147.119.162,443,443,true,FRA,Europe,Frankfurt,264,6.34
140.238.127.202,443,443,true,FRA,Europe,Frankfurt,358,6.32
158.180.82.203,8443,443,true,ICN,Asia Pacific,Seoul,156,6.29
150.230.120.32,443,443,true,FRA,Europe,Frankfurt,473,6.28
152.70.57.249,443,443,true,FRA,Europe,Frankfurt,310,6.28
143.47.184.59,443,443,true,FRA,Europe,Frankfurt,246,6.27
141.147.82.171,443,443,true,FRA,Europe,Frankfurt,366,6.24
141.144.203.57,443,443,true,FRA,Europe,Frankfurt,289,6.23
89.168.85.172,8443,443,true,FRA,Europe,Frankfurt,249,6.22
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,98,6.21
141.147.36.11,443,443,true,FRA,Europe,Frankfurt,305,6.21
130.162.176.253,443,443,true,FRA,Europe,Frankfurt,444,6.16
141.147.112.157,443,443,true,FRA,Europe,Frankfurt,265,6.09
150.230.21.187,443,443,true,FRA,Europe,Frankfurt,354,6.08
141.147.108.39,443,443,true,FRA,Europe,Frankfurt,401,6.01
132.145.54.84,2053,443,true,LHR,Europe,London,174,6.00
132.226.130.146,443,443,true,FRA,Europe,Frankfurt,220,5.92
143.47.243.144,2053,443,true,LHR,Europe,London,186,5.91
141.144.198.73,443,443,true,FRA,Europe,Frankfurt,387,5.91
89.168.85.172,2053,443,true,FRA,Europe,Frankfurt,224,5.91
130.162.215.64,443,443,true,FRA,Europe,Frankfurt,352,5.89
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,226,5.89
