IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.178.154.2,443,443,true,FRA,Europe,Frankfurt,322,6.87
144.24.186.67,443,443,true,FRA,Europe,Frankfurt,356,6.86
141.148.241.4,443,443,true,FRA,Europe,Frankfurt,244,6.85
158.101.179.232,443,443,true,FRA,Europe,Frankfurt,300,6.85
144.21.36.135,443,443,true,FRA,Europe,Frankfurt,252,6.85
132.145.66.179,443,443,true,FRA,Europe,Frankfurt,324,6.83
130.162.246.193,443,443,true,FRA,Europe,Frankfurt,485,6.82
141.147.20.157,443,443,true,FRA,Europe,Frankfurt,236,6.82
89.168.119.153,443,443,true,FRA,Europe,Frankfurt,253,6.81
141.147.53.23,443,443,true,FRA,Europe,Frankfurt,220,6.79
130.162.164.181,443,443,true,FRA,Europe,Frankfurt,323,6.79
130.162.162.201,443,443,true,FRA,Europe,Frankfurt,407,6.79
89.168.72.123,443,443,true,FRA,Europe,Frankfurt,210,6.78
152.70.54.15,443,443,true,FRA,Europe,Frankfurt,340,6.78
158.101.215.50,443,443,true,FRA,Europe,Frankfurt,228,6.75
84.8.153.12,443,443,true,FRA,Europe,Frankfurt,380,6.73
158.101.220.203,443,443,true,FRA,Europe,Frankfurt,264,6.73
141.147.42.15,443,443,true,FRA,Europe,Frankfurt,214,6.72
192.9.158.188,443,443,true,SJC,North America,San Jose,277,6.70
129.151.204.91,443,443,true,ARN,Europe,Stockholm,310,6.69
143.47.252.252,443,443,true,FRA,Europe,Frankfurt,314,6.69
158.101.201.152,443,443,true,FRA,Europe,Frankfurt,390,6.69
158.180.45.164,443,443,true,FRA,Europe,Frankfurt,207,6.68
132.226.207.108,443,443,true,FRA,Europe,Frankfurt,306,6.67
158.180.36.39,443,443,true,FRA,Europe,Frankfurt,294,6.67
141.147.113.31,443,443,true,FRA,Europe,Frankfurt,366,6.67
130.61.181.61,2053,443,true,FRA,Europe,Frankfurt,249,6.66
144.24.174.202,443,443,true,FRA,Europe,Frankfurt,359,6.66
193.123.63.252,443,443,true,FRA,Europe,Frankfurt,352,6.65
158.101.211.165,443,443,true,FRA,Europe,Frankfurt,272,6.65
79.72.74.198,443,443,true,FRA,Europe,Frankfurt,393,6.63
