IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.22.154,443,443,true,FRA,Europe,Frankfurt,273,8.36
84.8.159.209,443,443,true,FRA,Europe,Frankfurt,302,8.32
193.123.251.53,443,443,true,SIN,Asia Pacific,Singapore,216,8.31
143.47.254.33,443,443,true,FRA,Europe,Frankfurt,232,8.30
129.146.133.33,443,443,true,LAX,North America,Los Angeles,303,8.29
130.162.217.169,443,443,true,FRA,Europe,Frankfurt,405,8.25
143.47.176.214,443,443,true,FRA,Europe,Frankfurt,282,8.23
164.152.26.70,2052,443,true,ORD,North America,Chicago,213,8.17
79.72.92.181,443,443,true,FRA,Europe,Frankfurt,247,8.16
143.47.176.0,443,443,true,FRA,Europe,Frankfurt,357,8.14
84.8.155.155,443,443,true,AMS,Europe,Amsterdam,273,8.06
141.148.240.251,443,443,true,FRA,Europe,Frankfurt,286,8.05
158.180.82.203,8443,443,true,ICN,Asia Pacific,Seoul,151,8.04
150.230.120.21,443,443,true,FRA,Europe,Frankfurt,263,7.98
84.8.157.1,443,443,true,FRA,Europe,Frankfurt,272,7.97
143.47.231.159,443,443,true,FRA,Europe,Frankfurt,335,7.94
158.178.144.148,443,443,true,FRA,Europe,Frankfurt,331,7.93
68.233.127.163,8443,443,true,YUL,North America,Montréal,412,7.92
141.144.203.148,443,443,true,FRA,Europe,Frankfurt,337,7.92
143.47.234.143,443,443,true,FRA,Europe,Frankfurt,358,7.88
79.72.74.28,443,443,true,FRA,Europe,Frankfurt,516,7.87
130.162.226.178,443,443,true,FRA,Europe,Frankfurt,322,7.86
144.21.39.45,443,443,true,FRA,Europe,Frankfurt,321,7.86
130.162.57.86,443,443,true,FRA,Europe,Frankfurt,339,7.77
141.147.98.8,443,443,true,FRA,Europe,Frankfurt,364,7.77
141.147.69.188,443,443,true,FRA,Europe,Frankfurt,254,7.73
141.147.85.35,443,443,true,FRA,Europe,Frankfurt,333,7.72
144.21.48.213,443,443,true,FRA,Europe,Frankfurt,321,7.68
141.147.98.146,443,443,true,FRA,Europe,Frankfurt,333,7.66
141.147.163.68,443,443,true,NRT,Asia Pacific,Tokyo,218,7.62
144.21.54.80,443,443,true,FRA,Europe,Frankfurt,335,7.62
130.162.178.167,443,443,true,FRA,Europe,Frankfurt,291,7.61
141.148.226.125,443,443,true,FRA,Europe,Frankfurt,181,7.54
141.148.225.126,443,443,true,FRA,Europe,Frankfurt,274,7.52
143.47.236.68,443,443,true,FRA,Europe,Frankfurt,272,7.47
89.168.93.6,443,443,true,FRA,Europe,Frankfurt,253,7.45
150.230.120.32,443,443,true,FRA,Europe,Frankfurt,250,7.27
130.61.170.78,443,443,true,FRA,Europe,Frankfurt,262,7.22
144.21.62.226,443,443,true,FRA,Europe,Frankfurt,370,7.20
141.147.119.162,443,443,true,FRA,Europe,Frankfurt,356,7.16
152.70.162.30,443,443,true,FRA,Europe,Frankfurt,230,7.14
144.21.40.78,443,443,true,FRA,Europe,Frankfurt,210,7.11
164.152.17.14,443,443,true,ORD,North America,Chicago,212,7.11
