IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.178.192.221,443,443,true,CDG,Europe,Paris,475,8.78
138.2.135.60,443,443,true,FRA,Europe,Frankfurt,325,8.72
84.235.171.189,443,443,true,FRA,Europe,Frankfurt,204,8.70
141.147.74.138,443,443,true,FRA,Europe,Frankfurt,268,8.65
152.70.56.130,443,443,true,FRA,Europe,Frankfurt,330,8.61
131.186.22.123,443,443,true,ICN,Asia Pacific,Seoul,118,8.53
141.147.36.11,443,443,true,FRA,Europe,Frankfurt,168,8.53
144.21.60.27,443,443,true,FRA,Europe,Frankfurt,315,8.50
192.18.134.231,443,443,true,SJC,North America,San Jose,372,8.48
150.230.44.13,443,443,true,SJC,North America,San Jose,243,8.47
193.123.56.223,443,443,true,FRA,Europe,Frankfurt,380,8.47
152.70.172.152,443,443,true,FRA,Europe,Frankfurt,260,8.46
141.147.40.38,443,443,true,FRA,Europe,Frankfurt,186,8.45
158.180.43.233,443,443,true,FRA,Europe,Frankfurt,363,8.42
89.168.118.49,443,443,true,FRA,Europe,Frankfurt,282,8.37
141.148.245.157,443,443,true,FRA,Europe,Frankfurt,270,8.36
141.147.92.143,8443,443,true,LHR,Europe,London,323,8.33
84.8.153.2,443,443,true,FRA,Europe,Frankfurt,363,8.32
158.101.210.63,443,443,true,FRA,Europe,Frankfurt,398,8.29
193.123.61.243,443,443,true,FRA,Europe,Frankfurt,287,8.26
141.147.31.67,443,443,true,FRA,Europe,Frankfurt,391,8.25
89.168.86.162,443,443,true,FRA,Europe,Frankfurt,250,8.25
152.70.61.194,443,443,true,FRA,Europe,Frankfurt,359,8.24
150.230.122.242,443,443,true,FRA,Europe,Frankfurt,320,8.23
141.147.13.116,443,443,true,FRA,Europe,Frankfurt,375,8.18
143.47.232.120,443,443,true,FRA,Europe,Frankfurt,233,8.15
143.47.224.26,443,443,true,FRA,Europe,Frankfurt,429,8.10
84.235.166.249,443,443,true,FRA,Europe,Frankfurt,274,8.09
158.180.49.150,443,443,true,FRA,Europe,Frankfurt,301,8.07
150.230.117.29,443,443,true,FRA,Europe,Frankfurt,298,8.06
193.123.59.216,443,443,true,FRA,Europe,Frankfurt,354,8.04
144.21.55.34,443,443,true,FRA,Europe,Frankfurt,306,7.93
129.146.133.33,443,443,true,LAX,North America,Los Angeles,215,7.93
130.162.210.54,443,443,true,FRA,Europe,Frankfurt,423,7.92
84.235.170.136,443,443,true,FRA,Europe,Frankfurt,297,7.91
141.147.61.172,443,443,true,FRA,Europe,Frankfurt,310,7.91
141.147.163.68,443,443,true,NRT,Asia Pacific,Tokyo,165,7.90
141.147.112.157,443,443,true,FRA,Europe,Frankfurt,321,7.89
152.70.54.173,443,443,true,FRA,Europe,Frankfurt,371,7.88
141.147.38.176,443,443,true,FRA,Europe,Frankfurt,299,7.83
158.180.31.89,443,443,true,FRA,Europe,Frankfurt,294,7.74
89.168.118.170,443,443,true,FRA,Europe,Frankfurt,347,7.70
141.144.242.23,443,443,true,FRA,Europe,Frankfurt,335,7.66
132.145.14.168,443,443,true,FRA,Europe,Frankfurt,383,7.64
89.168.85.172,2096,443,true,FRA,Europe,Frankfurt,237,7.63
79.72.94.54,443,443,true,FRA,Europe,Frankfurt,192,7.61
130.162.172.94,443,443,true,FRA,Europe,Frankfurt,376,7.60
204.216.105.106,8443,8443,true,YUL,North America,Montréal,389,7.57
132.145.13.57,443,443,true,FRA,Europe,Frankfurt,291,7.56
144.21.48.25,443,443,true,FRA,Europe,Frankfurt,365,7.46
141.147.25.68,443,443,true,FRA,Europe,Frankfurt,279,7.44
84.235.165.216,443,443,true,FRA,Europe,Frankfurt,338,7.35
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,272,7.34
143.47.183.19,443,443,true,FRA,Europe,Frankfurt,237,7.32
141.147.13.56,443,443,true,FRA,Europe,Frankfurt,217,7.30
129.146.248.140,443,443,true,LAX,North America,Los Angeles,331,7.27
138.2.168.0,443,443,true,FRA,Europe,Frankfurt,317,7.23
130.162.49.74,443,443,true,FRA,Europe,Frankfurt,329,7.18
152.67.135.191,443,443,true,FRA,Europe,Frankfurt,357,7.18
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,365,7.14
79.72.84.128,443,443,true,FRA,Europe,Frankfurt,219,7.01
140.238.127.202,443,443,true,FRA,Europe,Frankfurt,480,6.99
164.152.26.70,2052,443,true,ORD,North America,Chicago,303,6.98
158.101.217.96,443,443,true,FRA,Europe,Frankfurt,548,6.97
140.238.126.27,443,443,true,FRA,Europe,Frankfurt,358,6.93
152.70.61.159,443,443,true,FRA,Europe,Frankfurt,278,6.92
141.147.113.180,443,443,true,FRA,Europe,Frankfurt,260,6.91
130.162.212.152,443,443,true,FRA,Europe,Frankfurt,350,6.88
68.233.127.163,8443,443,true,YYZ,North America,Toronto,360,6.87
141.144.252.248,443,443,true,FRA,Europe,Frankfurt,321,6.83
141.147.40.253,443,443,true,FRA,Europe,Frankfurt,222,6.82
89.168.85.172,2053,443,true,FRA,Europe,Frankfurt,232,6.73
152.70.49.47,443,443,true,FRA,Europe,Frankfurt,229,6.70
141.147.55.141,443,443,true,FRA,Europe,Frankfurt,229,6.70
141.147.35.181,443,443,true,FRA,Europe,Frankfurt,237,6.70
129.151.198.3,8443,443,true,ARN,Europe,Stockholm,416,6.64
40.233.70.7,8443,443,true,YYZ,North America,Toronto,449,6.62
144.24.164.204,443,443,true,FRA,Europe,Frankfurt,253,6.60
141.147.40.156,443,443,true,FRA,Europe,Frankfurt,326,6.52
89.168.85.172,8443,443,true,FRA,Europe,Frankfurt,257,6.40
130.162.49.67,443,443,true,FRA,Europe,Frankfurt,243,6.37
130.162.248.87,443,443,true,FRA,Europe,Frankfurt,398,6.18
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,412,6.16
141.148.227.19,443,443,true,AMS,Europe,Amsterdam,335,6.14
141.147.48.139,443,443,true,FRA,Europe,Frankfurt,344,6.05
132.145.54.84,8443,443,true,LHR,Europe,London,218,6.05
129.151.204.91,443,443,true,ARN,Europe,Stockholm,354,5.96
132.145.54.84,2053,443,true,LHR,Europe,London,235,5.93
130.162.254.19,443,443,true,FRA,Europe,Frankfurt,323,5.86
130.162.250.14,443,443,true,FRA,Europe,Frankfurt,274,5.85
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,113,5.81
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,334,5.71
158.179.160.123,443,443,true,ICN,Asia Pacific,Seoul,95,5.70
164.152.17.14,443,443,true,ORD,North America,Chicago,216,5.63
155.248.184.2,443,443,true,NRT,Asia Pacific,Tokyo,136,5.60
152.70.71.23,443,443,true,SIN,Asia Pacific,Singapore,230,5.60
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,246,5.60
129.154.59.99,443,443,true,ICN,Asia Pacific,Seoul,358,5.58
146.56.101.141,443,443,true,ICN,Asia Pacific,Seoul,247,5.55
193.122.107.147,443,443,true,ICN,Asia Pacific,Seoul,278,5.53
130.162.180.243,443,443,true,FRA,Europe,Frankfurt,362,5.53
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,243,5.49
129.159.22.4,443,443,true,BOM,Asia Pacific,Mumbai,61,5.46
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,328,5.43
140.238.195.98,443,443,true,SYD,Oceania,Sydney,113,5.42
144.24.243.207,443,443,true,ZRH,Europe,Zurich,270,5.38
193.122.110.171,443,443,true,ICN,Asia Pacific,Seoul,145,5.35
150.136.240.243,443,443,true,IAD,North America,Ashburn,231,5.33
129.159.241.172,443,443,true,FRA,Europe,Frankfurt,270,5.31
143.47.243.144,2053,443,true,LHR,Europe,London,223,5.29
192.9.180.162,443,443,true,SYD,Oceania,Sydney,271,5.27
164.152.26.70,2086,443,true,ORD,North America,Chicago,304,5.27
130.162.174.34,443,443,true,FRA,Europe,Frankfurt,386,5.16
193.122.107.147,443,443,true,ICN,Asia Pacific,Seoul,210,5.13
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,220,5.08
141.147.79.135,443,443,true,FRA,Europe,Frankfurt,324,5.00
150.230.7.216,443,443,true,KIX,Asia Pacific,Osaka,75,4.98
217.142.243.226,443,443,true,KIX,Asia Pacific,Osaka,340,4.98
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,333,4.91
129.159.34.122,443,443,true,SJC,North America,San Jose,194,4.88
158.101.199.249,8443,443,true,AMS,Europe,Amsterdam,362,4.86
